contador,pokemon_names,pokemon_prices 1,pokemon_prices 2,pokemon_prices 3
0,Peluche Pokemon Squirtle Bulbasaur Gengar Regalo Colección,38.900,35.010,972
1,Peluche Pikachu Pokemon Hermoso Juguete,59.990,52.240,4.353
2,Peluche Pokemon Eevee Evoluciones Nintendo Game Freak 17cms,41.990,40.730,3.394
3,Peluche Pokemon Eevee Nintendo Game Freak,39.990,35.870,2.989
4,Peluche Pikachu Charizard Y Juguete De Alta Calidad,64.990,58.491,4.874
5,Peluche Pokemon Mew Legendario Game Freak Nintendo,36.990,33.291,2.774
6,Peluche Mega Charizard X Pokemon Game Freak Nintendo Regalo,67.990,1.888,5.253
7,Peluche Mew Pokemon Legendario Game Freak Nintendo,36.990,1.027,1.937
8,Peluche Togepi Pokemon Kawaii Game Freak Nintendo Regalo,49.990,1.388,4.049
9,Peluche Mega Charizard X Pokemon Game Freak Nintendo 25 Cms,64.990,63.040,4.108
10,Peluche Charizard Blastoise Pokemon 40cm X 39cm Grande,71.900,69.743,6.374
11,Peluche Pokemon Cubone Marowak Nintendo Game Freak Juguete,52.990,48.591,1.481
12,"Peluche Cubone Pokemon Tierno Game Freak Nintendo 16,5 Cms",52.990,1.471,5.253
13,Gengar Peluche Pokémon 36 Cm Alto Excelente Calidad,58.000,49.300,1.751
14,Peluche Bulbasaur Pokemon Planta Game Freak Nintendo Regalo,59.990,1.666,4.124
15,Peluche Lapras Tipo Agua Nintendo Game Freak Pokemon Regalo,51.990,1.444,5.250
16,Peluche Pokemon Mewtwo Mew Nintendo Game Freak Juguete,84.990,76.491,2.550
17,Peluche Blastoise Tipo Agua Game Freak Nintendo Regalo,54.990,53.340,897
18,Peluche Pokemon Pikachu Mega Charizard X Nintendo Game Freak,64.990,63.040,2.559
19,Peluche Evee Evoluciones Pokemon Game Freak Nintendo Kawaii,44.990,1.249,1.052
20,Peluche Pikachu Mega Charizard X Nintendo Game Freak Pokemon,64.990,63.040,3.629
21,Peluche Snorlax Pokemon Kawaii Game Freak Nintendo Regalo,34.990,971,5.359
22,Peluches Pokemon Gengar Pokemon 34cm X 34cm Juguete,44.900,1.247,1.111
23,Peluche Charmander Inicial Fuego Nintendo Game Freak Pokemon,59.990,1.666,3.895
24,Peluche Llavero Pokémon Pikachu Charmander Squirtle Eevee,20.000,555,4.874
25,Peluche Charizard Pokemon 40cm X 39cm Charmander,79.900,2.219,5.359
26,Peluche Pokemon Bulbasaur Nintendo Game Freak,54.990,49.491,832
27,Peluche Pokemon Gyarados Nintendo Game Freak,70.000,63.000,1.011
28,Peluche Squirtle Tipo Agua Game Freak Nintendo Regalo,59.990,1.666,3.009
29,Peluche Charizard Pokemon 45cm X 39cm Charmander + Obsequios,54.900,4.575,4.647
30,Peluche Gengar 20 Cm Pokemon,36.000,30.600,3.483
31,Peluche Gyarados Pokemon Legendario Game Freak Nintendo Agua,99.990,2.777,2.610
32,Cojines De Pokemones En Felpa Bulbasaur Pikachu Charmander,35.900,32.310,2.679
33,Peluche Lucario Pokemon Lucha Acero Game Freak Nintendo,94.990,92.140,5.658
34,Peluche Squirtle Pokemon 35cm X 28cm Juguete,44.900,37.900,3.112
35,Peluches Pokemon Charmander Pokemon 33cm Perfumado Antialerg,44.900,43.553,2.287
36,Peluche Pikachu Con Traje De Snorlax-pokemon,110.000,3.055,2.667
37,Peluche Maleta 30 Cm Pikachu Pokemon,66.300,64.311,3.225
38,Peluches Pokemon Charmander Pokemon 33cm X 29 Cm,58.900,40.000,1.607
39,Peluche Pokemon Sprigatito Floragato Meowscarada Nintendo,54.990,46.741,3.112
40,Peluche Pokemón Charmander 20cm Suave Alto Juguete Regalo,35.500,2.958,12.771
41,Peluche Pokemon Pikachu Nintendo Game Freak,64.990,5.415,7.214
42,Evee Pokemon Peluche Perfumado,73.900,2.052,6.127
43,Peluche Pokemon Chikorita Nintendo Game Freak,64.990,58.491,4.850
44,Peluche Venasaur Tipo Planta Game Freak Nintendo Regalo,56.990,1.583,3.112
45,Peluche Pokemon Lugia Legendario Nintendo Game Freak,49.990,4.165,1.085
46,Pokémon Charmander Peluche Pequeño,35.000,972,2.844
47,Pokémon Pichu Peluche Pequeño,40.000,1.111,9.654
48,Pikachu Peluche Pokemon Original 20cm Súper Suave,419.900,11.663,3.702
49,Bulbasaur Pokemon 25cm De Alto Peluche,69.900,1.941,2.249
50,Peluche Tipo Maleta Gengar 40 Cm Pokémon,66.300,64.311,5.730
51,Peluche Pikachu Grande Antialergico Picachu Pokémon Nintendo,45.000,1.250,1.058
52,Pokemon Gengar Peluche Juguete,79.000,2.194,21.849
