contador,pokemon_names,pokemon_prices 1,pokemon_prices 2,pokemon_prices 3
0,Peluche Pokemon Squirtle Bulbasaur Gengar Regalo Colección,38.900,35.010,972
1,Peluche Meowth Pokémon,70.000,5.833,0
2,Peluche Pokemon Squirtle Bulbasaur Gengar Regalo Colección,38.900,35.010,972
3,Charizard Pokemon Dragón Peluche,83.900,2.330,0
4,Peluche Pikachu Pokemon Hermoso Juguete,59.990,52.240,4.353
5,Peluche Pokemon Eevee Evoluciones Nintendo Game Freak 17cms,41.990,40.730,3.394
6,Pokemon Figuras Jigglypuff - 8 Cms,50.000,4.166,0
7,Peluche Pikachu Charizard Y Juguete De Alta Calidad,64.990,58.491,4.874
8,Peluche Charizard Blastoise Pokemon 40cm X 39cm Grande,71.900,69.743,1.937
9,Peluche Pikachu Pokémon Mediano- Material Suave,32.900,913,0
10,Peluche Pokemon Eevee Nintendo Game Freak,39.990,35.870,2.989
11,Peluche Pokemon Charmander,35.990,34.190,2.849
12,Peluche Pokemon Mew Legendario Game Freak Nintendo,36.990,33.291,2.774
13,Peluche Mega Charizard X Pokemon Game Freak Nintendo Regalo,67.990,1.888,0
14,Peluche Mew Pokemon Legendario Game Freak Nintendo,36.990,1.027,0
15,Peluche Muñeco Pikachu Pokemón 20cm Alto Juguete Regalo,39.990,3.332,0
16,Gengar Peluche Pokémon 36 Cm Alto Excelente Calidad,58.000,49.300,4.108
17,Peluche Togepi Pokemon Kawaii Game Freak Nintendo Regalo,49.990,1.388,0
18,Peluche Pikachu Pichu Pokemon Juguete Niño 20 Cm,33.000,32.010,2.667
19,Cojines De Pokemones En Felpa Bulbasaur Pikachu Charmander,35.900,32.310,897
20,Peluche Mimikyu 20 Cm Pokemon | Fantasma Pikachu,55.000,1.527,0
21,Peluche Mega Charizard X Pokemon Game Freak Nintendo 25 Cms,64.990,63.040,5.253
22,Peluche Pokemon Pikachu Mega Charizard X Nintendo Game Freak,64.990,63.040,5.253
23,Peluche Snorlax Pokemon Nintendo 20 Cm,39.900,1.108,0
24,Peluche Charizard Blastoise Pokemon 40cm X 39cm Grande,71.900,69.743,1.937
25,Peluche Pokemon Cubone Marowak Nintendo Game Freak Juguete,52.990,48.591,4.049
26,Peluche Mega Charizard X Pokemon 25 Cms,110.000,3.055,0
